iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,2021-05-07,61455.0,293.0,244.286,2673.0,9.0,6.857,1578.67,7.527,6.275,68.665,0.231,0.176,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
OWID_AFR,,Africa,2021-05-07,4616997.0,8898.0,8471.143,123905.0,289.0,303.0,3443.983,6.637,6.319,92.425,0.216,0.226,,,,,,,,,,,,,,,,,,,19744495.0,13691299.0,5145124.0,163880.0,170468.0,1.47,1.02,0.38,127.0,,1340598113.0,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-05-07,131577.0,67.0,70.286,2408.0,2.0,2.0,45721.384,23.282,24.423,836.75,0.695,0.695,0.65,,,,,,,,,1995.0,624006.0,216.834,0.693,2200.0,0.764,0.038,26.1,tests performed,585693.0,,,13467.0,15541.0,20.35,,,5400.0,54.63,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DZA,Africa,Algeria,2021-05-07,123692.0,219.0,226.286,3315.0,8.0,8.857,2820.731,4.994,5.16,75.597,0.182,0.202,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
AND,Europe,Andorra,2021-05-07,13390.0,27.0,22.571,127.0,0.0,0.286,173299.683,349.447,292.13,1643.694,0.0,3.698,0.85,,,,,,,,,,183476.0,2374.633,,406.0,5.255,0.075,13.4,people tested,28881.0,24182.0,4699.0,,54.0,37.38,31.3,6.08,699.0,52.78,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AGO,Africa,Angola,2021-05-07,28201.0,280.0,221.286,628.0,6.0,4.571,858.053,8.519,6.733,19.108,0.183,0.139,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
ATG,North America,Antigua and Barbuda,2021-05-07,1232.0,0.0,0.0,32.0,0.0,0.0,12580.672,0.0,0.0,326.771,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ARG,South America,Argentina,2021-05-07,3118134.0,22552.0,20110.143,66872.0,609.0,429.571,68991.711,498.985,444.956,1479.607,13.475,9.505,0.98,,,,,,,,,24365.0,8812719.0,194.99,0.539,32613.0,0.722,0.293,3.4,tests performed,8820691.0,7555386.0,1265305.0,229630.0,136497.0,19.52,16.72,2.8,3020.0,77.31,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
ARM,Asia,Armenia,2021-05-07,218681.0,356.0,373.857,4209.0,17.0,14.429,73798.087,120.139,126.165,1420.408,5.737,4.869,0.74,,,,,,,,,3964.0,1004873.0,339.114,1.338,3688.0,1.245,0.108,9.2,tests performed,,,,,,,,,,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ABW,North America,Aruba,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80258.0,55625.0,24633.0,705.0,485.0,75.17,52.1,23.07,4543.0,60.19,106766.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,
