iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
ABW,Aruba,2020-03-13,2.0,2.0,0.0,0.0,18.733,18.733,0.0,0.0,,,,,
ABW,Aruba,2020-03-20,4.0,2.0,0.0,0.0,37.465,18.733,0.0,0.0,,,,,
ABW,Aruba,2020-03-24,12.0,8.0,0.0,0.0,112.395,74.93,0.0,0.0,,,,,
ABW,Aruba,2020-03-25,17.0,5.0,0.0,0.0,159.227,46.831,0.0,0.0,,,,,
ABW,Aruba,2020-03-26,19.0,2.0,0.0,0.0,177.959,18.733,0.0,0.0,,,,,
ABW,Aruba,2020-03-27,28.0,9.0,0.0,0.0,262.256,84.296,0.0,0.0,,,,,
ABW,Aruba,2020-03-28,28.0,0.0,0.0,0.0,262.256,0.0,0.0,0.0,,,,,
ABW,Aruba,2020-03-29,28.0,0.0,0.0,0.0,262.256,0.0,0.0,0.0,,,,,
ABW,Aruba,2020-03-30,50.0,22.0,0.0,0.0,468.314,206.058,0.0,0.0,,,,,
ABW,Aruba,2020-04-01,55.0,5.0,0.0,0.0,515.145,46.831,0.0,0.0,,,,,
ABW,Aruba,2020-04-02,55.0,0.0,0.0,0.0,515.145,0.0,0.0,0.0,,,,,
ABW,Aruba,2020-04-03,60.0,5.0,0.0,0.0,561.977,46.831,0.0,0.0,,,,,
ABW,Aruba,2020-04-04,62.0,2.0,0.0,0.0,580.709,18.733,0.0,0.0,,,,,
ABW,Aruba,2020-04-05,64.0,2.0,0.0,0.0,599.442,18.733,0.0,0.0,,,,,
ABW,Aruba,2020-04-06,64.0,0.0,0.0,0.0,599.442,0.0,0.0,0.0,,,,,
ABW,Aruba,2020-04-07,71.0,7.0,0.0,0.0,665.006,65.564,0.0,0.0,,,,,
ABW,Aruba,2020-04-08,74.0,3.0,0.0,0.0,693.105,28.099,0.0,0.0,,,,,
ABW,Aruba,2020-04-09,77.0,3.0,0.0,0.0,721.203,28.099,0.0,0.0,,,,,
ABW,Aruba,2020-04-10,82.0,5.0,0.0,0.0,768.035,46.831,0.0,0.0,,,,,
ABW,Aruba,2020-04-11,86.0,4.0,0.0,0.0,805.5,37.465,0.0,0.0,,,,,
ABW,Aruba,2020-04-12,92.0,6.0,0.0,0.0,861.698,56.198,0.0,0.0,,,,,
