location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Bolivia,2021-01-28,Sputnik V,https://boliviasegura.gob.bo/noticias/,0,,
Bolivia,2021-01-29,Sputnik V,https://boliviasegura.gob.bo/noticias/,12,,
Bolivia,2021-01-30,Sputnik V,https://boliviasegura.gob.bo/noticias/,39,,
Bolivia,2021-01-31,Sputnik V,https://boliviasegura.gob.bo/noticias/,67,,
Bolivia,2021-02-01,Sputnik V,https://boliviasegura.gob.bo/noticias/,570,,
Bolivia,2021-02-02,Sputnik V,https://boliviasegura.gob.bo/noticias/,1593,,
Bolivia,2021-02-03,Sputnik V,https://boliviasegura.gob.bo/noticias/,3560,,
Bolivia,2021-02-11,Sputnik V,https://twitter.com/SaludDeportesBo/status/1359831763791581185,10167,,
Bolivia,2021-03-02,Sputnik V,https://twitter.com/SaludDeportesBo/status/1366959563212283904,19487,10325,9162
Bolivia,2021-03-03,Sputnik V,https://twitter.com/SaludDeportesBo/status/1367290765194502146,19865,10325,9540
Bolivia,2021-03-04,Sputnik V,https://twitter.com/SaludDeportesBo/status/1367661977959596032,20025,10325,9700
