location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Bulgaria,2020-12-29,Pfizer/BioNTech,https://www.dnes.bg/politika/2020/12/29/prof-angelov-1719-vaksinirani-do-momenta-ima-vse-poveche-jelaeshti.474821,1719,1719,0
Bulgaria,2020-12-30,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,4608,4608,0
Bulgaria,2021-01-01,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,4739,4739,0
Bulgaria,2021-01-05,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,5448,5448,0
Bulgaria,2021-01-06,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,7913,7913,0
Bulgaria,2021-01-07,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,11117,11117,0
Bulgaria,2021-01-08,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,13355,13355,0
Bulgaria,2021-01-09,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,13473,13473,0
Bulgaria,2021-01-11,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,14161,14161,0
Bulgaria,2021-01-12,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,15780,15780,0
Bulgaria,2021-01-13,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,17038,17038,0
Bulgaria,2021-01-14,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,17686,17686,0
Bulgaria,2021-01-15,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,18126,18126,0
