location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Canada,2020-12-19,Pfizer/BioNTech,https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,8734,0
Canada,2020-12-26,Pfizer/BioNTech,https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,33734,0
Canada,2021-01-02,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,77521,0
Canada,2021-01-09,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,213147,3613
Canada,2021-01-12,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,267078,,
Canada,2021-01-13,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,288488,,
Canada,2021-01-14,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,310788,,
Canada,2021-01-15,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,342227,,
Canada,2021-01-16,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,564874,26768
Canada,2021-01-18,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,422864,,
Canada,2021-01-19,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,459780,,
Canada,2021-01-20,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,485739,,
Canada,2021-01-21,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,706464,,
Canada,2021-01-22,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,752377,,
Canada,2021-01-23,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,781559,59217
Canada,2021-01-25,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,802354,,
Canada,2021-01-26,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,827042,,
Canada,2021-01-27,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,890536,,
Canada,2021-01-28,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,910676,,
Canada,2021-01-29,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,937338,,
Canada,2021-01-30,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,,871905,113446
Canada,2021-02-01,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,974690,,
Canada,2021-02-02,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,985975,,
Canada,2021-02-03,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,999253,,
Canada,2021-02-04,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,1015083,,
Canada,2021-02-05,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,1042171,,
Canada,2021-02-08,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,1096929,,
Canada,2021-02-09,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,1119294,,
Canada,2021-02-10,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,1153987,,
Canada,2021-02-11,"Moderna, Pfizer/BioNTech",https://health-infobase.canada.ca/covid-19/vaccination-coverage/,1186400,,
