location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
China,2020-12-15,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.globaltimes.cn/page/202012/1211515.shtml,1500000,,,
China,2020-12-31,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.globaltimes.cn/page/202012/1211515.shtml,4500000,,,
China,2021-01-09,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.scio.gov.cn/xwfbh/xwbfbh/wqfbh/44687/44700/zy44704/Document/1696668/1696668.htm,9000000,,,
China,2021-01-13,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.chinadaily.com.cn/a/202101/13/WS5ffeb9f2a31024ad0baa2659.html,10000000,,,
China,2021-01-20,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.globaltimes.cn/page/202101/1213364.shtml,15000000,,,
China,2021-01-27,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.gov.cn/xinwen/gwylflkjz147/index.htm,22767000,,,
China,2021-01-31,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://english.www.gov.cn/news/topnews/202101/31/content_WS6016a596c6d0f72576944df7.html,24000000,,,
China,2021-02-03,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://news.yahoo.com/china-administered-31-2-million-071552622.html,31200000,,,
China,2021-02-09,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.reuters.com/article/health-coronavirus-china-vaccine-idUSB9N2J803T,40520000,,,
China,2021-02-28,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://global.chinadaily.com.cn/a/202103/03/WS603ec65ba31024ad0baac40f.html,52520000,,,
China,2021-03-14,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.chinadaily.com.cn/a/202103/15/WS604efbd6a31024ad0baaf3de.html,64980000,,,
China,2021-03-20,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.reuters.com/article/us-health-coronavirus-china-vaccine/china-steps-up-covid-19-vaccination-considers-differentiated-visa-policies-idUSKBN2BD0A8?il=0,74956000,,,
China,2021-03-22,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.reuters.com/article/us-health-coronavirus-china-vaccines/china-administered-80-46-million-covid-19-vaccine-doses-as-of-end-march-22-idUSKBN2BG04O,80460000,,,
China,2021-03-23,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/jkj/s7915/202103/4e9f38edab0243e6ac433a181906e527.shtml,82846000,,,
China,2021-03-24,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/jkj/s7915/202103/1d85a9ad629a4abcb4165803eb546b7a.shtml,85859700,,,
China,2021-03-25,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/jkj/s7915/202103/0d1b93ae500c418db1955fb6b4ffee70.shtml,91346000,,,
China,2021-03-26,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/yqjzqk/202103/0e5bf66b833a45de8db07e706775ae8e.shtml,97470000,,,
China,2021-03-27,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/yqjzqk/202103/575af2e2a7794f0b9e761e2c0390b69b.shtml,102417000,,,
China,2021-03-28,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/yqjzqk/202103/06db88dae17445fb82a6ba832efe9cf7.shtml,106613000,,,
