location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Germany,2020-12-27,Pfizer/BioNTech,https://impfdashboard.de/,23557,23557,0
Germany,2020-12-28,Pfizer/BioNTech,https://impfdashboard.de/,42304,42304,0
Germany,2020-12-29,Pfizer/BioNTech,https://impfdashboard.de/,84880,84880,0
Germany,2020-12-30,Pfizer/BioNTech,https://impfdashboard.de/,142750,142750,0
Germany,2020-12-31,Pfizer/BioNTech,https://impfdashboard.de/,181236,181236,0
Germany,2021-01-01,Pfizer/BioNTech,https://impfdashboard.de/,205860,205860,0
Germany,2021-01-02,Pfizer/BioNTech,https://impfdashboard.de/,257335,257335,0
Germany,2021-01-03,Pfizer/BioNTech,https://impfdashboard.de/,282579,282579,0
Germany,2021-01-04,Pfizer/BioNTech,https://impfdashboard.de/,330990,330990,0
Germany,2021-01-05,Pfizer/BioNTech,https://impfdashboard.de/,383411,383411,0
Germany,2021-01-06,Pfizer/BioNTech,https://impfdashboard.de/,442077,442077,0
Germany,2021-01-07,Pfizer/BioNTech,https://impfdashboard.de/,500550,500550,0
Germany,2021-01-08,Pfizer/BioNTech,https://impfdashboard.de/,560731,560731,0
Germany,2021-01-09,Pfizer/BioNTech,https://impfdashboard.de/,617872,617872,0
Germany,2021-01-10,Pfizer/BioNTech,https://impfdashboard.de/,651082,651082,0
Germany,2021-01-11,Pfizer/BioNTech,https://impfdashboard.de/,716748,716748,0
Germany,2021-01-12,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,798800,798800,0
Germany,2021-01-13,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,897798,897798,0
Germany,2021-01-14,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,997928,997813,115
Germany,2021-01-15,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1090711,1090167,544
Germany,2021-01-16,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1147812,1146873,939
Germany,2021-01-17,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1192345,1177803,14542
Germany,2021-01-18,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1266646,1235681,30965
Germany,2021-01-19,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1361176,1303234,57942
Germany,2021-01-20,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1489404,1380996,108408
Germany,2021-01-21,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1584304,1441175,143129
Germany,2021-01-22,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1698297,1524826,173471
Germany,2021-01-23,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1789837,1573443,216394
Germany,2021-01-24,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1855556,1611399,244157
Germany,2021-01-25,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,1952348,1668981,283367
Germany,2021-01-26,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2054601,1722149,332452
Germany,2021-01-27,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2166750,1776013,390737
Germany,2021-01-28,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2266969,1827544,439425
Germany,2021-01-29,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2376336,1884053,492283
Germany,2021-01-30,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2461730,1922494,539236
Germany,2021-01-31,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2524109,1953739,570370
Germany,2021-02-01,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2637812,2002335,635477
Germany,2021-02-02,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2763074,2058638,704436
Germany,2021-02-03,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,2901382,2113937,787445
Germany,2021-02-04,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,3035412,2175921,859491
Germany,2021-02-05,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,3165998,2234321,931677
Germany,2021-02-06,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,3268388,2281761,986627
Germany,2021-02-07,"Moderna, Pfizer/BioNTech",https://impfdashboard.de/,3327498,2314397,1013101
Germany,2021-02-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,3426700,2365318,1061382
Germany,2021-02-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,3558029,2429397,1128632
Germany,2021-02-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,3703364,2502609,1200755
Germany,2021-02-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,3846331,2573416,1272915
Germany,2021-02-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4002330,2652343,1349987
Germany,2021-02-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4111095,2714926,1396169
Germany,2021-02-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4177185,2754428,1422757
Germany,2021-02-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4302356,2824703,1477653
Germany,2021-02-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4436511,2904961,1531550
Germany,2021-02-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4580772,2996285,1584487
Germany,2021-02-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://impfdashboard.de/,4719900,3085114,1634786
