location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Gibraltar,2021-01-10,Pfizer/BioNTech,https://www.gibraltar.gov.gi/press-releases/day-one-of-gibraltars-covid-19-vaccination-programme-is-complete-332021-6576,420,420,0
Gibraltar,2021-01-11,Pfizer/BioNTech,https://www.gibraltar.gov.gi/press-releases/day-2-of-the-gibraltars-covid-19-vaccination-programme-382021-6578,1445,1445,0
Gibraltar,2021-01-12,Pfizer/BioNTech,https://www.gibraltar.gov.gi/press-releases/day-3-of-the-gibraltars-covid-19-vaccination-programme-462021-6588,2501,2501,0
Gibraltar,2021-01-15,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1350435849012391936,5135,5135,0
Gibraltar,2021-01-16,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1350843052223561728,5847,5847,0
Gibraltar,2021-01-17,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1351199624216907783,5847,5847,0
Gibraltar,2021-01-18,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1351524538664824832,6435,6435,0
Gibraltar,2021-01-19,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1351951485366632450,7017,7017,0
Gibraltar,2021-01-20,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1352329686215520257,7017,7017,0
Gibraltar,2021-01-21,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1352652233461141504,7947,7947,0
Gibraltar,2021-01-22,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1352979071710457857,8877,8877,0
Gibraltar,2021-01-23,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1353362986572931073,9807,9807,0
Gibraltar,2021-01-24,Pfizer/BioNTech,https://twitter.com/GibraltarGov/status/1353698998561943557,10341,10341,0
