location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Maldives,2021-02-02,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1356649067024183299,880,,
Maldives,2021-02-03,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1357011756833456135,1578,,
Maldives,2021-02-04,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1357374641090789377,3204,,
Maldives,2021-02-05,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1357736076589342720,4269,,
Maldives,2021-02-06,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1358098454896136195,6854,,
Maldives,2021-02-07,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1358464324738707459,9752,,
Maldives,2021-02-08,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1358823392561033223,12934,,
Maldives,2021-02-09,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1359185795861602304,16251,,
Maldives,2021-02-10,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1359548125615181826,20161,,
Maldives,2021-02-11,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1359910513426243584,25327,,
Maldives,2021-02-12,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1360273096108892160,27367,,
Maldives,2021-02-13,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1360636939469266944,33106,,
Maldives,2021-02-14,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1360999555999875072,38591,,
Maldives,2021-02-15,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1361362658117750786,43817,,
Maldives,2021-02-16,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1361722717821632515,50047,,
Maldives,2021-02-17,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1362087215065612295,56218,,
Maldives,2021-02-18,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1362449026935881729,64048,,
Maldives,2021-02-19,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1362470543723790336,64048,,
Maldives,2021-02-20,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1363176863099715584,70009,,
Maldives,2021-02-21,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1363547822302384137,75013,,
Maldives,2021-02-22,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1363901092355006471,80159,,
Maldives,2021-02-23,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1364262813653487623,85110,,
Maldives,2021-02-24,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1364621580018593799,90865,,
Maldives,2021-02-25,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1365003354817122307,98311,,
Maldives,2021-02-26,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1365351011389493256,99419,,
Maldives,2021-02-27,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1365710323005747205,105492,,
Maldives,2021-02-28,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1366073931422183430,111415,,
Maldives,2021-03-01,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1366436605741981699,117115,,
Maldives,2021-03-02,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1366798802603155457,123665,,
Maldives,2021-03-03,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1367158279718252545,129424,,
Maldives,2021-03-04,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1367524905370202118,137124,,
Maldives,2021-03-05,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1367883045831839748,138827,,
Maldives,2021-03-06,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1368247419624914948,145768,,
Maldives,2021-03-07,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1368611069422354440,151643,,
Maldives,2021-03-08,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1368970090503413765,157813,,
Maldives,2021-03-09,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1369336807326941190,165675,,
Maldives,2021-03-10,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1369702549054517248,175456,,
Maldives,2021-03-11,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1370061165888409605,186930,,
Maldives,2021-03-12,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1370419731929436162,188436,,
Maldives,2021-03-13,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1370784892825563140,198206,,
Maldives,2021-03-14,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1371153339115839495,206114,,
Maldives,2021-03-15,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1371507306538659840,212711,,
Maldives,2021-03-16,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1371869526321737730,214486,,
Maldives,2021-03-17,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1372234519085002753,215852,,
Maldives,2021-03-18,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1372599360995913729,217597,,
Maldives,2021-03-19,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1372956436846755847,218046,,
Maldives,2021-03-20,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1373321135975202819,218645,,
