location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Portugal,2020-12-27,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,4962,4962,0
Portugal,2020-12-28,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,7753,7753,0
Portugal,2020-12-29,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,20367,20367,0
Portugal,2020-12-30,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,30542,30542,0
Portugal,2020-12-31,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,32747,32747,0
Portugal,2021-01-01,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,32747,32747,0
Portugal,2021-01-02,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,32748,32748,0
Portugal,2021-01-03,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,32748,32748,0
Portugal,2021-01-04,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,33668,33668,0
Portugal,2021-01-05,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,46431,46431,0
Portugal,2021-01-06,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,61452,61452,0
Portugal,2021-01-07,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,71749,71749,0
Portugal,2021-01-08,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,74252,74252,0
Portugal,2021-01-09,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,74350,74350,0
Portugal,2021-01-10,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,74390,74390,0
Portugal,2021-01-11,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,75278,75278,0
Portugal,2021-01-12,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,86108,86108,0
Portugal,2021-01-13,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,99886,99886,0
Portugal,2021-01-14,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,111035,111035,0
Portugal,2021-01-15,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,118518,118518,0
Portugal,2021-01-16,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,120053,120053,0
Portugal,2021-01-17,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,121221,120060,1161
Portugal,2021-01-18,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,124625,122800,1825
Portugal,2021-01-19,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,148273,138832,9441
Portugal,2021-01-20,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,177113,158497,18616
Portugal,2021-01-21,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,209690,186157,23533
Portugal,2021-01-22,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,235449,209514,25935
Portugal,2021-01-23,Pfizer/BioNTech,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,249891,219916,29975
