location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Romania,2020-12-28,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-evidenta-persoanele-vaccinate-impotriva-covid-19/,2066,2066,
Romania,2020-12-29,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-evidenta-persoanelor-vaccinate-impotriva-covid-19/,2778,2778,
Romania,2020-12-30,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-evidenta-persoanelor-vaccinate-impotriva-covid-19-2/,5666,5666,
Romania,2020-12-31,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-31-12-evidenta-persoanelor-vaccinate-impotriva-covid-19/,10289,10289,
Romania,2021-01-01,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-01-01-2021-evidenta-persoanelor-vaccinate-impotriva-covid-19/,11656,11656,
Romania,2021-01-02,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-02-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,13242,13242,
Romania,2021-01-03,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-03-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,13596,13596,
Romania,2021-01-04,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-04-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,25508,25508,
Romania,2021-01-05,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-05-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,41609,41609,
Romania,2021-01-06,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-06-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,58554,58554,
Romania,2021-01-07,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-07-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,76400,76400,
Romania,2021-01-08,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-08-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,92706,92706,
Romania,2021-01-09,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-09-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,102301,102301,
Romania,2021-01-10,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-10-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,108294,108294,
Romania,2021-01-11,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-11-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,125190,125190,
Romania,2021-01-12,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-evidenta-persoanelor-vaccinate-impotriva-covid-19-3/,140447,140447,
Romania,2021-01-13,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-13-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,154268,154268,
Romania,2021-01-14,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-14-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,167612,167612,
Romania,2021-01-15,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-15-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,183669,183669,
Romania,2021-01-16,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-16-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,196090,196090,
Romania,2021-01-17,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-17-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,205060,204185,875
Romania,2021-01-18,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-18-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,235239,233288,1951
Romania,2021-01-19,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-evidenta-persoanelor-vaccinate-impotriva-covid-19-4/,270046,267424,2622
Romania,2021-01-20,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-20-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,308384,302570,5814
Romania,2021-01-21,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-21-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,348096,338252,9844
Romania,2021-01-22,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-22-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,385936,374681,11255
Romania,2021-01-23,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-23-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,418885,406006,12879
Romania,2021-01-24,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-24-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,446285,433129,13156
Romania,2021-01-25,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-25-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,484631,459567,25064
Romania,2021-01-26,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-evidenta-persoanelor-vaccinate-impotriva-covid-19-5/,528378,487711,40667
Romania,2021-01-27,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-25-01-evidenta-persoanelor-vaccinate-impotriva-covid-19-2/,570704,513429,57275
Romania,2021-01-28,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/ctualizare-zilnica-28-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,609396,534346,75050
Romania,2021-01-29,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-29-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,647000,554924,92076
Romania,2021-01-30,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-30-01-evidenta-persoanelor-vaccinate-impotriva-covid-19/,672396,571091,101305
Romania,2021-01-31,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/7411-2/,691415,585218,106197
Romania,2021-02-01,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-01-02-evidenta-persoanelor-vaccinate-impotriva-covid-19/,721184,598135,123049
Romania,2021-02-02,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-02-02-evidenta-persoanelor-vaccinate-impotriva-covid-19/,748732,610383,138349
Romania,2021-02-03,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/actualizare-zilnica-03-02-evidenta-persoanelor-vaccinate-impotriva-covid-19/,772202,620176,152026
Romania,2021-02-04,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf,794795,629279,165516
Romania,2021-02-05,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/05.02.21-Tabel-situatie-vaccinari-actualizat.pdf,821552,638886,182666
Romania,2021-02-06,Pfizer/BioNTech,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/06.02.21-Tabel-situatie-vaccinari-actualizat.pdf,840812,454568,193122
