location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
San Marino,2021-02-27,Sputnik V,https://vaccinocovid.iss.sm/,35,35,0
San Marino,2021-03-01,Sputnik V,https://vaccinocovid.iss.sm/,275,275,0
San Marino,2021-03-02,Sputnik V,https://vaccinocovid.iss.sm/,580,580,0
San Marino,2021-03-03,Sputnik V,https://vaccinocovid.iss.sm/,883,883,0
San Marino,2021-03-04,Sputnik V,https://vaccinocovid.iss.sm/,1383,1383,0
San Marino,2021-03-05,Sputnik V,https://vaccinocovid.iss.sm/,1880,1880,0
San Marino,2021-03-06,Sputnik V,https://vaccinocovid.iss.sm/,2339,2339,0
San Marino,2021-03-08,Sputnik V,https://vaccinocovid.iss.sm/,2700,2700,0
San Marino,2021-03-09,Sputnik V,https://vaccinocovid.iss.sm/,3065,3065,0
San Marino,2021-03-10,Sputnik V,https://vaccinocovid.iss.sm/,3668,3668,0
San Marino,2021-03-11,Sputnik V,https://vaccinocovid.iss.sm/,4284,4284,0
San Marino,2021-03-12,Sputnik V,https://vaccinocovid.iss.sm/,4806,4806,0
San Marino,2021-03-13,Sputnik V,https://vaccinocovid.iss.sm/,4832,4832,0
San Marino,2021-03-14,Sputnik V,https://vaccinocovid.iss.sm/,5130,5130,0
San Marino,2021-03-15,Sputnik V,https://vaccinocovid.iss.sm/,5430,5430,0
San Marino,2021-03-16,Sputnik V,https://vaccinocovid.iss.sm/,6087,6087,0
San Marino,2021-03-17,Sputnik V,https://vaccinocovid.iss.sm/,6738,6738,0
San Marino,2021-03-18,Sputnik V,https://vaccinocovid.iss.sm/,7328,7299,29
San Marino,2021-03-19,Sputnik V,https://vaccinocovid.iss.sm/,7923,7888,35
San Marino,2021-03-22,Sputnik V,https://vaccinocovid.iss.sm/,8553,8293,260
San Marino,2021-03-23,Sputnik V,https://vaccinocovid.iss.sm/,9084,8578,506
San Marino,2021-03-24,Sputnik V,https://vaccinocovid.iss.sm/,9461,8607,854
San Marino,2021-03-26,Sputnik V,https://vaccinocovid.iss.sm/,10308,8633,1675
San Marino,2021-03-30,Sputnik V,https://vaccinocovid.iss.sm/,11759,8779,2980
San Marino,2021-03-31,Sputnik V,https://vaccinocovid.iss.sm/,12341,8818,3523
San Marino,2021-04-02,Sputnik V,https://vaccinocovid.iss.sm/,12950,8829,4121
San Marino,2021-04-03,Sputnik V,https://vaccinocovid.iss.sm/,13475,8830,4645
