Country,Year,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac
Chile,-8,0,0,0,420,0
Chile,-7,0,0,0,5198,0
Chile,-6,0,0,0,8338,0
Chile,-5,0,0,0,8649,0
Chile,-4,0,0,0,8649,0
Chile,-3,0,0,0,8649,0
Chile,-2,0,0,0,8649,0
Chile,-1,0,0,0,8649,0
Chile,0,0,0,0,8649,0
Chile,1,0,0,0,8649,0
Chile,2,0,0,0,8649,0
Chile,3,0,0,0,9054,0
Chile,4,0,0,0,10497,0
Chile,5,0,0,0,10702,0
Chile,6,0,0,0,10702,0
Chile,7,0,0,0,10702,0
Chile,8,0,0,0,10702,0
Chile,9,0,0,0,10702,0
Chile,10,0,0,0,10702,0
Chile,11,0,0,0,10702,0
Chile,12,0,0,0,11732,0
Chile,13,0,0,0,18646,0
Chile,14,0,0,0,22077,0
Chile,15,0,0,0,22167,0
Chile,16,0,0,0,22167,0
Chile,17,0,0,0,33212,0
Chile,18,0,0,0,52569,0
Chile,19,0,0,0,61878,0
Chile,20,0,0,0,64940,0
Chile,21,0,0,0,65352,0
Chile,22,0,0,0,65352,0
Chile,23,0,0,0,65352,0
Chile,24,0,0,0,66772,0
Chile,25,0,0,0,67388,0
Chile,26,0,0,0,67423,0
Chile,27,0,0,0,67423,0
Chile,28,0,0,0,67428,0
Chile,29,0,0,0,67428,0
Chile,30,0,0,0,67428,0
Chile,31,0,0,0,67428,0
Chile,32,0,0,0,67434,13189
Chile,33,0,0,0,67434,183530
Chile,34,0,0,0,69562,357553
Chile,35,0,0,0,70250,526211
Chile,36,0,0,0,70255,554062
Chile,37,0,0,0,70256,562697
Chile,38,0,0,0,82046,784107
Chile,39,0,0,0,101500,1026473
Chile,40,0,0,0,109933,1298854
Chile,41,0,0,0,113002,1549889
Chile,42,0,0,0,113355,1778970
Chile,43,0,0,0,113389,1808477
Chile,44,0,0,0,113389,1812942
Chile,45,0,0,0,113390,2078782
Chile,46,0,0,0,113400,2298780
Chile,47,0,0,0,113400,2486786
Chile,48,0,0,0,113401,2642024
Chile,49,0,0,0,113401,2784131
Chile,50,0,0,0,113401,2793770
Chile,51,0,0,0,113401,2794934
Chile,52,0,0,0,125500,2890969
Chile,53,0,0,0,150348,2960376
Chile,54,0,0,0,178871,3018049
Chile,55,0,0,0,212586,3070402
Chile,56,0,0,0,242318,3118896
Chile,57,0,0,0,248642,3122615
Chile,58,0,0,0,248644,3122968
Chile,59,0,0,0,263548,3245596
Chile,60,0,0,0,294470,3386021
Chile,61,0,0,0,313027,3679216
Chile,62,0,0,0,322133,3980493
Chile,63,0,0,0,327887,4272398
Chile,64,0,0,0,328231,4305810
Chile,65,0,0,0,328337,4313619
Chile,66,0,0,0,340922,4651408
Chile,67,0,0,0,378515,4990076
Chile,68,0,0,0,420127,5349462
Chile,69,0,0,0,465880,5720334
Chile,70,0,0,0,483278,6076950
Chile,71,0,0,0,483832,6126769
Chile,72,0,0,0,483832,6133335
Chile,73,0,0,0,507691,6539244
Chile,74,0,0,0,561170,6895356
Chile,75,0,0,0,616634,7206636
Chile,76,0,0,0,666175,7491588
Chile,77,0,0,0,689332,7762782
Chile,78,0,0,0,691249,7795039
Chile,79,0,0,0,691259,7799180
Chile,80,0,0,0,727323,8031332
Chile,81,0,0,0,787183,8211921
Chile,82,0,0,0,840038,8377400
Chile,83,0,0,0,894596,8535144
Chile,84,0,0,0,932577,8713774
Chile,85,0,0,0,934605,8727362
Chile,86,0,0,0,934605,8728748
Chile,87,0,0,0,956617,8973075
Chile,88,0,0,0,1014059,9193793
Chile,89,0,0,0,1060186,9427160
Chile,90,0,0,0,1083946,9705669
Chile,91,0,0,0,1084165,9712443
Chile,92,0,0,0,1084355,9715448
Chile,93,0,0,0,1084355,9716619
Chile,94,0,0,0,1115274,9969524
Chile,95,0,0,0,1197860,10126041
Chile,96,0,0,0,1286475,10269171
Chile,97,0,0,0,1363894,10428728
Chile,98,0,0,0,1411923,10594964
Chile,99,0,0,0,1419002,10612593
Czechia,-5,0,0,0,1250,0
Czechia,-4,0,0,0,3542,0
Czechia,-3,0,0,0,6985,0
Czechia,-2,0,0,0,10451,0
Czechia,-1,0,0,0,11756,0
Czechia,0,0,0,0,12016,0
Czechia,1,0,0,0,13265,0
Czechia,2,0,0,0,14178,0
Czechia,3,0,0,0,17742,0
Czechia,4,0,0,0,22234,0
Czechia,5,0,0,0,28044,0
Czechia,6,0,0,0,35994,0
Czechia,7,0,0,0,45915,0
Czechia,8,0,0,0,47923,0
Czechia,9,0,0,0,49643,0
Czechia,10,0,0,0,59421,0
Czechia,11,0,0,0,72769,0
Czechia,12,0,0,0,86235,0
Czechia,13,0,1222,0,100170,0
Czechia,14,0,1978,0,113327,0
Czechia,15,0,2304,0,116374,0
Czechia,16,0,2393,0,119509,0
Czechia,17,0,2570,0,133584,0
Czechia,18,0,3344,0,147941,0
Czechia,19,0,4921,0,162520,0
Czechia,20,0,5876,0,178795,0
Czechia,21,0,6071,0,194356,0
Czechia,22,0,6111,0,198446,0
Czechia,23,0,6235,0,201422,0
Czechia,24,0,6432,0,213762,0
Czechia,25,0,6705,0,227919,0
Czechia,26,0,7005,0,241067,0
Czechia,27,0,7124,0,254054,0
Czechia,28,0,7275,0,267856,0
Czechia,29,0,7277,0,269650,0
Czechia,30,0,7277,0,271487,0
Czechia,31,0,7530,0,283026,0
Czechia,32,0,7857,0,296961,0
Czechia,33,0,8582,0,311554,0
Czechia,34,0,9716,0,328175,0
Czechia,35,0,10897,0,343006,0
Czechia,36,0,11153,0,345912,0
Czechia,37,0,11416,0,348960,0
Czechia,38,0,12321,0,363377,0
Czechia,39,0,13950,0,378612,0
Czechia,40,0,15690,0,395460,0
Czechia,41,0,19051,230,414174,0
Czechia,42,0,21298,624,432818,0
Czechia,43,0,21780,1045,436436,0
Czechia,44,0,22028,1247,438339,0
Czechia,45,0,23415,2006,451854,0
Czechia,46,0,25878,3139,465783,0
Czechia,47,0,28605,5152,478882,0
Czechia,48,0,30948,7109,494771,0
Czechia,49,0,32327,8793,510626,0
Czechia,50,0,32330,9419,513071,0
Czechia,51,0,32427,9608,514804,0
Czechia,52,0,33424,11209,528223,0
Czechia,53,0,34205,13891,544430,0
Czechia,54,0,35529,16802,559915,0
Czechia,55,0,36705,21085,577785,0
Czechia,56,0,37486,24364,594966,0
Czechia,57,0,37657,24976,597657,0
Czechia,58,0,37849,25435,599867,0
Czechia,59,0,39493,29350,616992,0
Czechia,60,0,41347,38379,636307,0
Czechia,61,0,45039,47821,657920,0
Czechia,62,0,49678,56789,681508,0
Czechia,63,0,53241,64935,703521,0
Czechia,64,0,54627,69303,710544,0
Czechia,65,0,55901,73425,717278,0
Czechia,66,0,58962,81144,740654,0
Czechia,67,0,64200,92022,766588,0
Czechia,68,0,69151,102610,798658,0
Czechia,69,0,73350,114098,835479,0
Czechia,70,0,78712,126101,864675,0
Czechia,71,0,79963,129056,878632,0
Czechia,72,0,81077,129958,889717,0
Czechia,73,0,87726,137841,911719,0
Czechia,74,0,96805,146328,942847,0
Czechia,75,0,104443,155116,973778,0
Czechia,76,0,111427,164131,1007226,0
Czechia,77,0,117433,172685,1039891,0
Czechia,78,0,118534,175019,1053290,0
Czechia,79,0,118840,175471,1061365,0
Czechia,80,0,122927,182141,1086911,0
Czechia,81,0,126679,189505,1114925,0
