date,people_vaccinated,people_fully_vaccinated,total_vaccinations,location,source_url,vaccine
2021-03-17,0,,0,Fiji,https://reliefweb.int/report/fiji/fiji-starts-covid-19-vaccination,Oxford/AstraZeneca
2021-04-13,6278,,6278,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-04-15,27705,0,27705,Fiji,https://www.bignewsnetwork.com/news/268723193/fiji-hopes-to-complete-administering-all-available-covid-19-vaccines-soon,Oxford/AstraZeneca
2021-04-16,56000,0,56000,Fiji,https://twitter.com/FijiPM/status/1382948915968823298,Oxford/AstraZeneca
2021-04-20,56000,,56000,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-05-11,93000,,93000,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-05-25,107014,2913,109927,Fiji,http://www.health.gov.fj/covid-19-situation-update-5/,Oxford/AstraZeneca
2021-06-01,136247,,136247,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-08,218830,4599,223429,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-15,237940,4599,242539,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-21,256018,17990,274008,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-29,278954,43345,322299,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-07-06,324462,54737,379199,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-07-13,353355,66643,419998,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-07-20,393095,78624,471719,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-07-27,441171,97268,538439,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-08-02,484629,144194,628823,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-08-09,512282,178606,690888,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-08-16,533705,211496,745201,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-08-23,543254,234905,778159,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-08-31,558944,266608,825552,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-09-07,566210,299943,866153,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-09-14,569958,342191,912149,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
2021-09-21,587948,387320,975268,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Moderna, Oxford/AstraZeneca"
