location,automated
Bulgaria,TRUE
Canada,TRUE
Denmark,TRUE
England,TRUE
Estonia,TRUE
Finland,TRUE
Germany,TRUE
Northern Ireland,TRUE
Scotland,TRUE
Slovenia,TRUE
United Kingdom,TRUE
United States,TRUE
Wales,TRUE
Argentina,FALSE
Austria,FALSE
Bahrain,FALSE
Chile,FALSE
China,FALSE
Costa Rica,FALSE
Croatia,FALSE
France,FALSE
Greece,FALSE
Hungary,FALSE
Iceland,FALSE
Ireland,FALSE
Israel,FALSE
Italy,FALSE
Kuwait,FALSE
Latvia,FALSE
Lithuania,FALSE
Luxembourg,FALSE
Mexico,FALSE
Norway,FALSE
Oman,FALSE
Poland,FALSE
Portugal,FALSE
Romania,FALSE
Russia,FALSE
Spain,FALSE
