date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,vaccine,source_url
2020-12-28,386,386,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2020-12-29,1056,1056,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2020-12-30,1709,1709,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2020-12-31,2313,2313,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-01,2591,2591,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-02,3132,3132,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-03,3843,3843,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-04,9975,9975,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-05,16233,16233,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-06,20466,20466,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-07,26006,26006,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-08,34787,34787,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-09,40163,40163,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-10,44080,44080,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-11,49645,49645,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-12,56199,56199,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-13,64619,64619,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-14,70695,70695,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-15,75276,75276,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-16,79744,79744,,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-18,85223,84803,420,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-19,93179,92139,1040,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-20,107335,105700,1635,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-21,123347,121109,2238,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-22,140870,138312,2558,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-23,157388,154273,3115,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-25,177377,169456,7921,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
2021-01-26,195783,182778,13005,Greece,Pfizer/BioNTech,https://www.data.gov.gr/datasets/mdg_emvolio/
