location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Russia,2020-12-15,Sputnik V,28500,28500,,http://government.ru/news/41122/
Russia,2020-12-22,Sputnik V,52000,52000,,https://tass.com/society/1238521
Russia,2021-01-02,Sputnik V,800000,800000,,https://tass.com/society/1241979
Russia,2021-01-13,Sputnik V,1000000,1000000,,https://twitter.com/redouad/status/1350030539944820736
Russia,2021-02-10,Sputnik V,3900000,2200000,1700000.0,https://www.reuters.com/article/health-coronavirus-russia-vaccine-idINKBN2AA1UH
Russia,2021-03-01,"Sputnik V, EpiVacCorona",5238966,4140332,1098634.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-02,"Sputnik V, EpiVacCorona",5249831,4158334,1091497.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-03,"Sputnik V, EpiVacCorona",5489342,4287423,1201919.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-04,"Sputnik V, EpiVacCorona",6010744,4701175,1309569.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-05,"Sputnik V, EpiVacCorona",6301854,4908178,1393676.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-06,"Sputnik V, EpiVacCorona",6583873,5082127,1501746.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-07,"Sputnik V, EpiVacCorona",6655487,5128138,1527349.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-08,"Sputnik V, EpiVacCorona",6669466,5136605,1532861.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-09,"Sputnik V, EpiVacCorona",6694349,5149589,1544760.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-10,"Sputnik V, EpiVacCorona",7048129,5272651,1775478.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-11,"Sputnik V, EpiVacCorona",7273933,5366009,1907924.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-12,"Sputnik V, EpiVacCorona",7448262,5451045,1997217.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-13,"Sputnik V, EpiVacCorona",7639374,5524226,2115148.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-14,"Sputnik V, EpiVacCorona",7698889,5545133,2153756.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-17,"Sputnik V, EpiVacCorona",7818009,5379359,2438650.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-18,"Sputnik V, EpiVacCorona",7909438,5431048,2478390.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-19,"Sputnik V, EpiVacCorona",8185944,5544777,2641167.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-20,"Sputnik V, EpiVacCorona",8306498,5595893,2710605.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-21,"Sputnik V, EpiVacCorona",8362575,5611139,2751436.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-29,"Sputnik V, EpiVacCorona",11124350,6846664,4277686.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-30,"Sputnik V, EpiVacCorona",11183108,6886259,4296849.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-31,"Sputnik V, EpiVacCorona",11373572,7004336,4369236.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-01,"Sputnik V, EpiVacCorona",11642295,7159411,4482884.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-02,"Sputnik V, EpiVacCorona",11779295,7247479,4531816.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-03,"Sputnik V, EpiVacCorona",12038859,7445035,4593824.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-04,"Sputnik V, EpiVacCorona",12120810,7505764,4615046.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-05,"Sputnik V, EpiVacCorona",12215342,7576640,4638702.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-06,"Sputnik V, EpiVacCorona",12474954,7753876,4721078.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-07,"Sputnik V, EpiVacCorona",13047800,7908918,5138882.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-08,"Sputnik V, EpiVacCorona",13354502,8146598,5207904.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-09,"Sputnik V, EpiVacCorona",13628879,8333331,5295548.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-10,"Sputnik V, EpiVacCorona",13977397,8575951,5401446.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-11,"Sputnik V, EpiVacCorona",14108341,8692848,5415493.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-12,"Sputnik V, EpiVacCorona",14269543,8808044,5461499.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-13,"Sputnik V, EpiVacCorona",14583881,9037705,5546176.0,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-14,"Sputnik V, EpiVacCorona",14967802,9343939,5623863.0,https://gogov.ru/articles/covid-v-stats
