date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,7150,Italy
2020-12-28,Pfizer/BioNTech,8571,Italy
2020-12-29,Pfizer/BioNTech,9576,Italy
2020-12-30,Pfizer/BioNTech,14300,Italy
2020-12-31,Pfizer/BioNTech,39694,Italy
2021-01-01,Pfizer/BioNTech,50739,Italy
2021-01-02,Pfizer/BioNTech,89242,Italy
2021-01-03,Pfizer/BioNTech,124373,Italy
2021-01-04,Pfizer/BioNTech,193003,Italy
2021-01-05,Pfizer/BioNTech,272541,Italy
2021-01-06,Pfizer/BioNTech,337716,Italy
2021-01-07,Pfizer/BioNTech,429852,Italy
2021-01-08,Pfizer/BioNTech,525343,Italy
2021-01-08,Moderna,1,Italy
2021-01-09,Pfizer/BioNTech,612201,Italy
2021-01-10,Pfizer/BioNTech,672524,Italy
2021-01-11,Pfizer/BioNTech,753399,Italy
2021-01-12,Pfizer/BioNTech,835181,Italy
2021-01-13,Moderna,2,Italy
2021-01-13,Pfizer/BioNTech,929277,Italy
2021-01-14,Moderna,86,Italy
2021-01-14,Pfizer/BioNTech,1022364,Italy
2021-01-15,Moderna,1180,Italy
2021-01-15,Pfizer/BioNTech,1109948,Italy
2021-01-16,Moderna,2090,Italy
2021-01-16,Pfizer/BioNTech,1173637,Italy
2021-01-17,Pfizer/BioNTech,1210035,Italy
2021-01-17,Moderna,2383,Italy
2021-01-18,Moderna,3601,Italy
2021-01-18,Pfizer/BioNTech,1252075,Italy
2021-01-19,Moderna,5692,Italy
2021-01-19,Pfizer/BioNTech,1282382,Italy
2021-01-20,Moderna,8969,Italy
2021-01-20,Pfizer/BioNTech,1309307,Italy
2021-01-21,Moderna,11760,Italy
2021-01-21,Pfizer/BioNTech,1341661,Italy
2021-01-22,Moderna,13496,Italy
2021-01-22,Oxford/AstraZeneca,3,Italy
2021-01-22,Pfizer/BioNTech,1366016,Italy
2021-01-23,Moderna,14496,Italy
2021-01-23,Pfizer/BioNTech,1403408,Italy
2021-01-24,Pfizer/BioNTech,1436237,Italy
2021-01-24,Moderna,15290,Italy
2021-01-25,Moderna,15888,Italy
2021-01-25,Pfizer/BioNTech,1504297,Italy
2021-01-26,Moderna,16635,Italy
2021-01-26,Pfizer/BioNTech,1583294,Italy
2021-01-27,Moderna,17255,Italy
2021-01-27,Pfizer/BioNTech,1653121,Italy
2021-01-28,Moderna,18029,Italy
2021-01-28,Pfizer/BioNTech,1745498,Italy
2021-01-29,Moderna,18836,Italy
2021-01-29,Pfizer/BioNTech,1841969,Italy
2021-01-30,Pfizer/BioNTech,1931368,Italy
2021-01-30,Moderna,19302,Italy
2021-01-31,Pfizer/BioNTech,1990507,Italy
2021-01-31,Moderna,19499,Italy
2021-02-01,Moderna,20050,Italy
2021-02-01,Oxford/AstraZeneca,4,Italy
2021-02-01,Pfizer/BioNTech,2075268,Italy
2021-02-02,Moderna,21141,Italy
2021-02-02,Oxford/AstraZeneca,14,Italy
2021-02-02,Pfizer/BioNTech,2161813,Italy
2021-02-03,Moderna,22525,Italy
2021-02-03,Pfizer/BioNTech,2259549,Italy
2021-02-04,Moderna,24147,Italy
2021-02-04,Pfizer/BioNTech,2364607,Italy
2021-02-05,Moderna,27350,Italy
2021-02-05,Oxford/AstraZeneca,16,Italy
2021-02-05,Pfizer/BioNTech,2467807,Italy
2021-02-06,Pfizer/BioNTech,2542205,Italy
