date,location,vaccine,total_vaccinations
2021-01-12,United States,Pfizer/BioNTech,5488697.0
2021-01-13,United States,Pfizer/BioNTech,6025872.0
2021-01-15,United States,Pfizer/BioNTech,7153268.0
2021-01-19,United States,Pfizer/BioNTech,8874811.0
2021-01-20,United States,Pfizer/BioNTech,9281063.0
2021-01-21,United States,Pfizer/BioNTech,9817027.0
2021-01-22,United States,Pfizer/BioNTech,10695066.0
2021-01-23,United States,Pfizer/BioNTech,11471457.0
2021-01-24,United States,Pfizer/BioNTech,12153536.0
2021-01-25,United States,Pfizer/BioNTech,12551999.0
2021-01-26,United States,Pfizer/BioNTech,13009981.0
2021-01-27,United States,Pfizer/BioNTech,13550835.0
2021-01-28,United States,Pfizer/BioNTech,14355980.0
2021-01-29,United States,Pfizer/BioNTech,15164858.0
2021-01-30,United States,Pfizer/BioNTech,15977015.0
2021-01-31,United States,Pfizer/BioNTech,16775916.0
2021-02-01,United States,Pfizer/BioNTech,17364398.0
2021-02-02,United States,Pfizer/BioNTech,17672866.0
2021-02-03,United States,Pfizer/BioNTech,18209204.0
2021-02-04,United States,Pfizer/BioNTech,18841309.0
2021-02-05,United States,Pfizer/BioNTech,19582865.0
2021-02-06,United States,Pfizer/BioNTech,20598212.0
2021-02-07,United States,Pfizer/BioNTech,21622193.0
2021-02-08,United States,Pfizer/BioNTech,22247484.0
2021-02-09,United States,Pfizer/BioNTech,22685406.0
2021-02-10,United States,Pfizer/BioNTech,23475749.0
2021-02-11,United States,Pfizer/BioNTech,24246868.0
2021-02-12,United States,Pfizer/BioNTech,25192628.0
2021-02-13,United States,Pfizer/BioNTech,26237417.0
2021-02-14,United States,Pfizer/BioNTech,27271797.0
2021-02-16,United States,Pfizer/BioNTech,28374410.0
2021-02-17,United States,Pfizer/BioNTech,28886690.0
2021-02-18,United States,Pfizer/BioNTech,29585627.0
2021-02-19,United States,Pfizer/BioNTech,30431247.0
2021-02-20,United States,Pfizer/BioNTech,31270062.0
2021-02-21,United States,Pfizer/BioNTech,32232422.0
2021-02-22,United States,Pfizer/BioNTech,32853883.0
2021-02-23,United States,Pfizer/BioNTech,33352170.0
2021-02-24,United States,Pfizer/BioNTech,34159027.0
2021-02-25,United States,Pfizer/BioNTech,35095003.0
2021-02-26,United States,Pfizer/BioNTech,36159403.0
2021-02-27,United States,Pfizer/BioNTech,37269195.0
2021-02-28,United States,Pfizer/BioNTech,38426567.0
2021-03-01,United States,Pfizer/BioNTech,39262524.0
2021-03-02,United States,Pfizer/BioNTech,40196532.0
2021-03-03,United States,Pfizer/BioNTech,41175807.0
2021-03-04,United States,Pfizer/BioNTech,42193285.0
2021-03-05,United States,Pfizer/BioNTech,43373717.0
2021-03-06,United States,Pfizer/BioNTech,44774584.0
2021-03-07,United States,Pfizer/BioNTech,45932122.0
2021-03-08,United States,Pfizer/BioNTech,46824290.0
2021-03-09,United States,Pfizer/BioNTech,47628226.0
2021-03-10,United States,Pfizer/BioNTech,48605159.0
2021-03-11,United States,Pfizer/BioNTech,49708920.0
2021-03-12,United States,Pfizer/BioNTech,50960400.0
2021-03-13,United States,Pfizer/BioNTech,53096054.0
2021-03-14,United States,Pfizer/BioNTech,53708091.0
2021-03-15,United States,Pfizer/BioNTech,54643581.0
2021-03-16,United States,Pfizer/BioNTech,55393141.0
2021-03-17,United States,Pfizer/BioNTech,56499018.0
2021-03-18,United States,Pfizer/BioNTech,57876875.0
2021-01-12,United States,Moderna,3835859.0
2021-01-13,United States,Moderna,4249795.0
2021-01-15,United States,Moderna,5122662.0
2021-01-19,United States,Moderna,6828561.0
2021-01-20,United States,Moderna,7239750.0
2021-01-21,United States,Moderna,7724683.0
2021-01-22,United States,Moderna,8407909.0
2021-01-23,United States,Moderna,9061112.0
2021-01-24,United States,Moderna,9689497.0
2021-01-25,United States,Moderna,10084432.0
2021-01-26,United States,Moderna,10431466.0
2021-01-27,United States,Moderna,11001991.0
2021-01-28,United States,Moderna,11737592.0
2021-01-29,United States,Moderna,12619210.0
2021-01-30,United States,Moderna,13499942.0
2021-01-31,United States,Moderna,14246089.0
2021-02-01,United States,Moderna,14756609.0
2021-02-02,United States,Moderna,15006565.0
2021-02-03,United States,Moderna,15567188.0
2021-02-04,United States,Moderna,16260102.0
2021-02-05,United States,Moderna,17133644.0
2021-02-06,United States,Moderna,18336515.0
2021-02-07,United States,Moderna,19485089.0
2021-02-08,United States,Moderna,20066305.0
2021-02-09,United States,Moderna,20416765.0
2021-02-10,United States,Moderna,21189540.0
2021-02-11,United States,Moderna,22038088.0
2021-02-12,United States,Moderna,23111715.0
2021-02-13,United States,Moderna,24297615.0
2021-02-14,United States,Moderna,25505313.0
2021-02-16,United States,Moderna,26738383.0
2021-02-17,United States,Moderna,27287041.0
2021-02-18,United States,Moderna,28043413.0
2021-02-19,United States,Moderna,29044336.0
2021-02-20,United States,Moderna,29909492.0
2021-02-21,United States,Moderna,30747615.0
2021-02-22,United States,Moderna,31212925.0
2021-02-23,United States,Moderna,31569021.0
2021-02-24,United States,Moderna,32194245.0
2021-02-25,United States,Moderna,33066503.0
2021-02-26,United States,Moderna,34181226.0
2021-02-27,United States,Moderna,35422721.0
2021-02-28,United States,Moderna,36694414.0
2021-03-01,United States,Moderna,37522293.0
2021-03-02,United States,Moderna,38319678.0
2021-03-03,United States,Moderna,39248180.0
2021-03-04,United States,Moderna,40261524.0
2021-03-05,United States,Moderna,41507728.0
2021-03-06,United States,Moderna,42977312.0
2021-03-07,United States,Moderna,44195607.0
2021-03-08,United States,Moderna,44936695.0
2021-03-09,United States,Moderna,45635740.0
2021-03-10,United States,Moderna,46535646.0
2021-03-11,United States,Moderna,47733656.0
2021-03-12,United States,Moderna,49169578.0
2021-03-13,United States,Moderna,51292130.0
2021-03-14,United States,Moderna,51951820.0
2021-03-15,United States,Moderna,52883263.0
2021-03-16,United States,Moderna,53647312.0
2021-03-17,United States,Moderna,54643195.0
2021-03-18,United States,Moderna,55811286.0
2021-03-08,United States,Johnson&Johnson,208590.0
2021-03-09,United States,Johnson&Johnson,308181.0
2021-03-10,United States,Johnson&Johnson,458911.0
2021-03-11,United States,Johnson&Johnson,638469.0
2021-03-12,United States,Johnson&Johnson,873726.0
2021-03-13,United States,Johnson&Johnson,1189207.0
2021-03-14,United States,Johnson&Johnson,1273958.0
2021-03-15,United States,Johnson&Johnson,1428465.0
2021-03-16,United States,Johnson&Johnson,1569675.0
2021-03-17,United States,Johnson&Johnson,1766131.0
2021-03-18,United States,Johnson&Johnson,1911052.0
