date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2021-01-21,0,0,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-01-22,108,108,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-01-27,2982,2982,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-02-04,6228,6228,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-02-17,8190,6228,1962,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-02-24,24492,20784,3708,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-01,42114,35886,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-04,59316,53088,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-05,71148,64920,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-08,74472,68244,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-09,75258,69030,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-11,95915,89687,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-12,123176,116948,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-13,139359,119222,20137,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-15,141191,121054,20137,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-21,178970,140765,38205,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-23,182261,143614,38647,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-24,191179,152526,38653,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-26,230770,172413,58357,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-27,235000,174642,60358,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-29,244866,182329,62537,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-04-01,283106,204902,78204,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-04-04,301069,211720,89349,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-04-05,335093,228504,106589,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-04-06,356783,244159,112624,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-04-08,363255,250631,112624,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-04-10,457460,274160,183300,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
