date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2020-12-27,24296,24159,137,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2020-12-28,42679,42542,137,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2020-12-29,91574,90848,726,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2020-12-30,153122,152392,730,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2020-12-31,202796,201949,847,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-01,222069,221222,847,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-02,274710,273647,1063,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-03,298858,297795,1063,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-04,347207,346144,1063,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-05,400569,399482,1087,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-06,463567,462479,1088,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-07,519772,518680,1092,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-08,583195,581785,1410,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-09,644424,642965,1459,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-10,679565,678099,1466,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-11,746008,744491,1517,Germany,https://impfdashboard.de/,Pfizer/BioNTech
2021-01-12,828933,827366,1567,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-13,940188,938444,1744,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-14,1023222,1021199,2023,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-15,1113515,1110780,2735,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-16,1170870,1167099,3771,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-17,1218366,1197928,20438,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-18,1300165,1263981,36184,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-19,1413398,1344761,68637,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-20,1544687,1424995,119692,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-21,1648625,1489259,159366,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-22,1750404,1556660,193744,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-23,1835769,1597347,238422,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-24,1885263,1622944,262319,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-25,1981141,1681097,300044,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-26,2080447,1732051,348396,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-27,2191355,1783628,407727,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-28,2282607,1828733,453874,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-29,2391064,1879909,511155,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-30,2477657,1915196,562461,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-01-31,2535426,1941914,593512,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-01,2656825,2001177,655648,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-02,2787305,2064709,722596,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-03,2945033,2128383,816650,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-04,3076035,2189284,886751,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-05,3219062,2255690,963372,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-06,3318132,2302135,1015997,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-07,3371668,2330238,1041430,Germany,https://impfdashboard.de/,"Moderna, Pfizer/BioNTech"
2021-02-08,3481637,2383580,1098057,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,3614162,2442873,1171289,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,3762935,2516574,1246361,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,3904726,2590238,1314488,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,4060630,2670454,1390176,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,4168291,2732156,1436135,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,4233083,2771931,1461152,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,4359412,2842533,1516879,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-16,4493740,2923916,1569824,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-17,4643463,3018244,1625219,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-18,4786970,3110105,1676865,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-19,4939297,3208933,1730364,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-20,5053420,3285329,1768091,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-21,5139187,3342205,1796982,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-22,5299720,3441704,1858016,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-23,5466226,3548339,1917887,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-24,5640241,3663523,1976718,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-25,5828423,3793373,2035050,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-26,6036085,3936822,2099263,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-27,6184269,4045109,2139160,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-28,6292358,4128962,2163396,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-01,6486668,4273964,2212704,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-02,6705047,4438728,2266319,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-03,6946624,4612197,2334427,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-04,7187937,4790847,2397090,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-05,7453843,4990226,2463617,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-06,7655820,5143082,2512738,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-07,7805029,5257650,2547379,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-08,8042779,5442884,2599895,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-09,8292673,5638062,2654611,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-10,8575206,5855114,2720092,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-11,8855418,6074427,2780991,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-12,9176214,6323766,2852448,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-13,9421882,6520058,2901824,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-14,9592713,6654862,2937851,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-15,9840266,6843612,2996654,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-16,10020346,6956686,3063660,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-17,10224152,7081605,3142547,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-18,10418029,7200695,3217334,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-19,10658791,7359363,3299428,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-20,10877125,7523853,3353272,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-21,11042616,7650582,3392034,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-22,11307413,7838436,3468977,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-23,11603869,8051321,3552548,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-24,11933142,8292839,3640303,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-25,12265535,8545788,3719747,Germany,https://impfdashboard.de/,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
