date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1250,Czechia
2020-12-28,Pfizer/BioNTech,3544,Czechia
2020-12-29,Pfizer/BioNTech,6987,Czechia
2020-12-30,Pfizer/BioNTech,10454,Czechia
2020-12-31,Pfizer/BioNTech,11759,Czechia
2021-01-01,Pfizer/BioNTech,12019,Czechia
2021-01-02,Pfizer/BioNTech,13268,Czechia
2021-01-03,Pfizer/BioNTech,14181,Czechia
2021-01-04,Pfizer/BioNTech,17747,Czechia
2021-01-05,Pfizer/BioNTech,22239,Czechia
2021-01-06,Pfizer/BioNTech,28051,Czechia
2021-01-07,Pfizer/BioNTech,36002,Czechia
2021-01-08,Pfizer/BioNTech,45925,Czechia
2021-01-09,Pfizer/BioNTech,47933,Czechia
2021-01-10,Pfizer/BioNTech,49656,Czechia
2021-01-11,Pfizer/BioNTech,59433,Czechia
2021-01-12,Pfizer/BioNTech,72782,Czechia
2021-01-13,Pfizer/BioNTech,86248,Czechia
2021-01-14,Moderna,1224,Czechia
2021-01-14,Pfizer/BioNTech,100185,Czechia
2021-01-15,Moderna,1981,Czechia
2021-01-15,Pfizer/BioNTech,113346,Czechia
2021-01-16,Moderna,2307,Czechia
2021-01-16,Pfizer/BioNTech,116393,Czechia
2021-01-17,Moderna,2396,Czechia
2021-01-17,Pfizer/BioNTech,119528,Czechia
2021-01-18,Moderna,2573,Czechia
2021-01-18,Pfizer/BioNTech,133528,Czechia
2021-01-19,Moderna,3347,Czechia
2021-01-19,Pfizer/BioNTech,147885,Czechia
2021-01-20,Moderna,4924,Czechia
2021-01-20,Pfizer/BioNTech,162461,Czechia
2021-01-21,Pfizer/BioNTech,178757,Czechia
2021-01-21,Moderna,5880,Czechia
2021-01-22,Moderna,6075,Czechia
2021-01-22,Pfizer/BioNTech,194321,Czechia
2021-01-23,Moderna,6115,Czechia
2021-01-23,Pfizer/BioNTech,198413,Czechia
2021-01-24,Moderna,6239,Czechia
2021-01-24,Pfizer/BioNTech,201389,Czechia
2021-01-25,Moderna,6436,Czechia
2021-01-25,Pfizer/BioNTech,213729,Czechia
2021-01-26,Moderna,6709,Czechia
2021-01-26,Pfizer/BioNTech,227888,Czechia
2021-01-27,Moderna,7009,Czechia
2021-01-27,Pfizer/BioNTech,241042,Czechia
2021-01-28,Moderna,7128,Czechia
2021-01-28,Pfizer/BioNTech,254029,Czechia
2021-01-29,Pfizer/BioNTech,267835,Czechia
2021-01-29,Moderna,7279,Czechia
2021-01-30,Moderna,7281,Czechia
2021-01-30,Pfizer/BioNTech,269629,Czechia
2021-01-31,Pfizer/BioNTech,271470,Czechia
2021-02-01,Moderna,7534,Czechia
2021-02-01,Pfizer/BioNTech,283012,Czechia
2021-02-02,Moderna,7861,Czechia
2021-02-02,Pfizer/BioNTech,296950,Czechia
2021-02-03,Moderna,8587,Czechia
2021-02-03,Pfizer/BioNTech,311543,Czechia
2021-02-04,Moderna,9722,Czechia
2021-02-04,Pfizer/BioNTech,328169,Czechia
2021-02-05,Moderna,10907,Czechia
2021-02-05,Pfizer/BioNTech,343002,Czechia
2021-02-06,Moderna,11163,Czechia
2021-02-06,Pfizer/BioNTech,345907,Czechia
2021-02-07,Pfizer/BioNTech,348956,Czechia
2021-02-07,Moderna,11426,Czechia
2021-02-08,Moderna,12331,Czechia
2021-02-08,Pfizer/BioNTech,363375,Czechia
2021-02-09,Moderna,13963,Czechia
2021-02-09,Pfizer/BioNTech,378609,Czechia
2021-02-10,Moderna,15703,Czechia
2021-02-10,Pfizer/BioNTech,395460,Czechia
2021-02-11,Moderna,19067,Czechia
2021-02-11,Oxford/AstraZeneca,230,Czechia
2021-02-11,Pfizer/BioNTech,414184,Czechia
2021-02-12,Moderna,21315,Czechia
2021-02-12,Oxford/AstraZeneca,624,Czechia
2021-02-12,Pfizer/BioNTech,432828,Czechia
2021-02-13,Oxford/AstraZeneca,1045,Czechia
2021-02-13,Pfizer/BioNTech,436445,Czechia
2021-02-13,Moderna,21797,Czechia
2021-02-14,Moderna,22045,Czechia
2021-02-14,Oxford/AstraZeneca,1247,Czechia
2021-02-14,Pfizer/BioNTech,438348,Czechia
2021-02-15,Moderna,23436,Czechia
2021-02-15,Oxford/AstraZeneca,2006,Czechia
2021-02-15,Pfizer/BioNTech,451854,Czechia
2021-02-16,Oxford/AstraZeneca,3140,Czechia
2021-02-16,Moderna,25901,Czechia
2021-02-16,Pfizer/BioNTech,465794,Czechia
2021-02-17,Moderna,28566,Czechia
2021-02-17,Oxford/AstraZeneca,5155,Czechia
2021-02-17,Pfizer/BioNTech,478916,Czechia
2021-02-18,Oxford/AstraZeneca,7111,Czechia
2021-02-18,Pfizer/BioNTech,494807,Czechia
2021-02-18,Moderna,30912,Czechia
2021-02-19,Pfizer/BioNTech,510669,Czechia
2021-02-19,Oxford/AstraZeneca,8795,Czechia
2021-02-19,Moderna,32291,Czechia
2021-02-20,Moderna,32294,Czechia
2021-02-20,Oxford/AstraZeneca,9421,Czechia
2021-02-20,Pfizer/BioNTech,513114,Czechia
2021-02-21,Moderna,32391,Czechia
2021-02-21,Oxford/AstraZeneca,9610,Czechia
2021-02-21,Pfizer/BioNTech,514848,Czechia
2021-02-22,Moderna,33388,Czechia
2021-02-22,Oxford/AstraZeneca,11211,Czechia
2021-02-22,Pfizer/BioNTech,528273,Czechia
2021-02-23,Moderna,34169,Czechia
2021-02-23,Oxford/AstraZeneca,13893,Czechia
2021-02-23,Pfizer/BioNTech,544485,Czechia
2021-02-24,Oxford/AstraZeneca,16804,Czechia
2021-02-24,Pfizer/BioNTech,559980,Czechia
2021-02-24,Moderna,35493,Czechia
2021-02-25,Moderna,36670,Czechia
2021-02-25,Oxford/AstraZeneca,21087,Czechia
2021-02-25,Pfizer/BioNTech,577860,Czechia
2021-02-26,Moderna,37451,Czechia
2021-02-26,Oxford/AstraZeneca,24357,Czechia
2021-02-26,Pfizer/BioNTech,595047,Czechia
2021-02-27,Oxford/AstraZeneca,24969,Czechia
2021-02-27,Moderna,37622,Czechia
2021-02-27,Pfizer/BioNTech,597738,Czechia
2021-02-28,Moderna,37814,Czechia
2021-02-28,Oxford/AstraZeneca,25431,Czechia
2021-02-28,Pfizer/BioNTech,599950,Czechia
2021-03-01,Oxford/AstraZeneca,29346,Czechia
2021-03-01,Pfizer/BioNTech,617079,Czechia
2021-03-01,Moderna,39457,Czechia
2021-03-02,Oxford/AstraZeneca,38387,Czechia
2021-03-02,Pfizer/BioNTech,636409,Czechia
2021-03-02,Moderna,41312,Czechia
2021-03-03,Oxford/AstraZeneca,47832,Czechia
2021-03-03,Pfizer/BioNTech,658037,Czechia
2021-03-03,Moderna,45010,Czechia
2021-03-04,Moderna,49656,Czechia
2021-03-04,Oxford/AstraZeneca,56801,Czechia
2021-03-04,Pfizer/BioNTech,681642,Czechia
2021-03-05,Moderna,53229,Czechia
2021-03-05,Oxford/AstraZeneca,64953,Czechia
2021-03-05,Pfizer/BioNTech,703658,Czechia
2021-03-06,Moderna,54613,Czechia
2021-03-06,Oxford/AstraZeneca,69320,Czechia
2021-03-06,Pfizer/BioNTech,710672,Czechia
2021-03-07,Moderna,55886,Czechia
2021-03-07,Oxford/AstraZeneca,73473,Czechia
