date,location,vaccine,total_vaccinations
2020-12-27,Germany,Pfizer/BioNTech,24474
2020-12-28,Germany,Pfizer/BioNTech,42814
2020-12-29,Germany,Pfizer/BioNTech,92364
2020-12-30,Germany,Pfizer/BioNTech,154904
2020-12-31,Germany,Pfizer/BioNTech,204945
2021-01-01,Germany,Pfizer/BioNTech,224218
2021-01-02,Germany,Pfizer/BioNTech,277313
2021-01-03,Germany,Pfizer/BioNTech,301521
2021-01-04,Germany,Pfizer/BioNTech,349908
2021-01-05,Germany,Pfizer/BioNTech,403967
2021-01-06,Germany,Pfizer/BioNTech,466822
2021-01-07,Germany,Pfizer/BioNTech,522679
2021-01-08,Germany,Pfizer/BioNTech,586118
2021-01-09,Germany,Pfizer/BioNTech,647481
2021-01-10,Germany,Pfizer/BioNTech,682842
2021-01-11,Germany,Pfizer/BioNTech,750522
2021-01-12,Germany,Pfizer/BioNTech,833302
2021-01-13,Germany,Pfizer/BioNTech,944084
2021-01-14,Germany,Pfizer/BioNTech,1022167
2021-01-15,Germany,Pfizer/BioNTech,1108250
2021-01-16,Germany,Pfizer/BioNTech,1163931
2021-01-17,Germany,Pfizer/BioNTech,1211144
2021-01-18,Germany,Pfizer/BioNTech,1289373
2021-01-19,Germany,Pfizer/BioNTech,1401072
2021-01-20,Germany,Pfizer/BioNTech,1530534
2021-01-21,Germany,Pfizer/BioNTech,1632769
2021-01-22,Germany,Pfizer/BioNTech,1733019
2021-01-23,Germany,Pfizer/BioNTech,1818184
2021-01-24,Germany,Pfizer/BioNTech,1867966
2021-01-25,Germany,Pfizer/BioNTech,1960369
2021-01-26,Germany,Pfizer/BioNTech,2057784
2021-01-27,Germany,Pfizer/BioNTech,2166883
2021-01-28,Germany,Pfizer/BioNTech,2256789
2021-01-29,Germany,Pfizer/BioNTech,2363665
2021-01-30,Germany,Pfizer/BioNTech,2450521
2021-01-31,Germany,Pfizer/BioNTech,2508268
2021-02-01,Germany,Pfizer/BioNTech,2627843
2021-02-02,Germany,Pfizer/BioNTech,2755902
2021-02-03,Germany,Pfizer/BioNTech,2909215
2021-02-04,Germany,Pfizer/BioNTech,3035516
2021-02-05,Germany,Pfizer/BioNTech,3174246
2021-02-06,Germany,Pfizer/BioNTech,3271917
2021-02-07,Germany,Pfizer/BioNTech,3323820
2021-02-08,Germany,Pfizer/BioNTech,3430076
2021-02-09,Germany,Pfizer/BioNTech,3559510
2021-02-10,Germany,Pfizer/BioNTech,3698525
2021-02-11,Germany,Pfizer/BioNTech,3818587
2021-02-12,Germany,Pfizer/BioNTech,3950183
2021-02-13,Germany,Pfizer/BioNTech,4042585
2021-02-14,Germany,Pfizer/BioNTech,4097920
2021-02-15,Germany,Pfizer/BioNTech,4205333
2021-02-16,Germany,Pfizer/BioNTech,4311498
2021-02-17,Germany,Pfizer/BioNTech,4433939
2021-02-18,Germany,Pfizer/BioNTech,4544840
2021-02-19,Germany,Pfizer/BioNTech,4663006
2021-02-20,Germany,Pfizer/BioNTech,4751169
2021-02-21,Germany,Pfizer/BioNTech,4818547
2021-02-22,Germany,Pfizer/BioNTech,4944827
2021-02-23,Germany,Pfizer/BioNTech,5077136
2021-02-24,Germany,Pfizer/BioNTech,5209434
2021-02-25,Germany,Pfizer/BioNTech,5340264
2021-02-26,Germany,Pfizer/BioNTech,5480185
2021-02-27,Germany,Pfizer/BioNTech,5573159
2021-02-28,Germany,Pfizer/BioNTech,5635564
2021-03-01,Germany,Pfizer/BioNTech,5764074
2021-03-02,Germany,Pfizer/BioNTech,5904596
2021-03-03,Germany,Pfizer/BioNTech,6061395
2021-03-04,Germany,Pfizer/BioNTech,6203744
2021-03-05,Germany,Pfizer/BioNTech,6350864
2021-03-06,Germany,Pfizer/BioNTech,6461597
2021-03-07,Germany,Pfizer/BioNTech,6544046
2021-03-08,Germany,Pfizer/BioNTech,6679664
2021-03-09,Germany,Pfizer/BioNTech,6819792
2021-03-10,Germany,Pfizer/BioNTech,6977391
2021-03-11,Germany,Pfizer/BioNTech,7126461
2021-03-12,Germany,Pfizer/BioNTech,7279146
2021-03-13,Germany,Pfizer/BioNTech,7393798
2021-03-14,Germany,Pfizer/BioNTech,7483303
