date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,7170,Italy
2020-12-28,Pfizer/BioNTech,8606,Italy
2020-12-29,Pfizer/BioNTech,9615,Italy
2020-12-30,Pfizer/BioNTech,14343,Italy
2020-12-31,Pfizer/BioNTech,40093,Italy
2021-01-01,Pfizer/BioNTech,51302,Italy
2021-01-02,Pfizer/BioNTech,90110,Italy
2021-01-03,Pfizer/BioNTech,125519,Italy
2021-01-04,Pfizer/BioNTech,194649,Italy
2021-01-05,Pfizer/BioNTech,274638,Italy
2021-01-06,Pfizer/BioNTech,340203,Italy
2021-01-07,Pfizer/BioNTech,433352,Italy
2021-01-08,Moderna,2,Italy
2021-01-08,Pfizer/BioNTech,530529,Italy
2021-01-09,Pfizer/BioNTech,618832,Italy
2021-01-10,Pfizer/BioNTech,680465,Italy
2021-01-11,Pfizer/BioNTech,762909,Italy
2021-01-12,Pfizer/BioNTech,846272,Italy
2021-01-13,Pfizer/BioNTech,941868,Italy
2021-01-13,Moderna,3,Italy
2021-01-14,Moderna,87,Italy
2021-01-14,Pfizer/BioNTech,1036486,Italy
2021-01-15,Moderna,1211,Italy
2021-01-15,Pfizer/BioNTech,1126153,Italy
2021-01-16,Moderna,2121,Italy
2021-01-16,Pfizer/BioNTech,1191284,Italy
2021-01-17,Pfizer/BioNTech,1228994,Italy
2021-01-17,Moderna,2414,Italy
2021-01-18,Pfizer/BioNTech,1272190,Italy
2021-01-18,Moderna,3632,Italy
2021-01-19,Moderna,5723,Italy
2021-01-19,Pfizer/BioNTech,1302884,Italy
2021-01-20,Moderna,9000,Italy
2021-01-20,Pfizer/BioNTech,1330192,Italy
2021-01-21,Pfizer/BioNTech,1362797,Italy
2021-01-21,Moderna,11792,Italy
2021-01-22,Oxford/AstraZeneca,3,Italy
2021-01-22,Pfizer/BioNTech,1387541,Italy
2021-01-22,Moderna,13528,Italy
2021-01-23,Pfizer/BioNTech,1425191,Italy
2021-01-23,Moderna,14528,Italy
2021-01-24,Moderna,15322,Italy
2021-01-24,Pfizer/BioNTech,1458210,Italy
2021-01-25,Moderna,15920,Italy
2021-01-25,Pfizer/BioNTech,1526554,Italy
2021-01-26,Moderna,16667,Italy
2021-01-26,Pfizer/BioNTech,1605896,Italy
2021-01-27,Moderna,17287,Italy
2021-01-27,Pfizer/BioNTech,1676049,Italy
2021-01-28,Pfizer/BioNTech,1768716,Italy
2021-01-28,Moderna,18061,Italy
2021-01-29,Moderna,18870,Italy
2021-01-29,Pfizer/BioNTech,1865550,Italy
2021-01-30,Moderna,19336,Italy
2021-01-30,Oxford/AstraZeneca,4,Italy
2021-01-30,Pfizer/BioNTech,1955213,Italy
2021-01-31,Moderna,19533,Italy
2021-01-31,Pfizer/BioNTech,2014520,Italy
2021-02-01,Oxford/AstraZeneca,5,Italy
2021-02-01,Pfizer/BioNTech,2099536,Italy
2021-02-01,Moderna,20084,Italy
2021-02-02,Moderna,21206,Italy
2021-02-02,Oxford/AstraZeneca,15,Italy
2021-02-02,Pfizer/BioNTech,2186228,Italy
2021-02-03,Moderna,22610,Italy
2021-02-03,Pfizer/BioNTech,2284287,Italy
2021-02-04,Moderna,24253,Italy
2021-02-04,Pfizer/BioNTech,2389894,Italy
2021-02-05,Oxford/AstraZeneca,17,Italy
2021-02-05,Pfizer/BioNTech,2493688,Italy
2021-02-05,Moderna,27478,Italy
2021-02-06,Moderna,29568,Italy
2021-02-06,Pfizer/BioNTech,2568493,Italy
2021-02-07,Moderna,30160,Italy
2021-02-07,Oxford/AstraZeneca,18,Italy
2021-02-07,Pfizer/BioNTech,2609581,Italy
2021-02-08,Oxford/AstraZeneca,19,Italy
2021-02-08,Pfizer/BioNTech,2673649,Italy
2021-02-08,Moderna,32772,Italy
2021-02-09,Pfizer/BioNTech,2736870,Italy
2021-02-09,Moderna,36119,Italy
2021-02-10,Moderna,38936,Italy
2021-02-10,Oxford/AstraZeneca,20,Italy
2021-02-10,Pfizer/BioNTech,2806615,Italy
2021-02-11,Moderna,42066,Italy
2021-02-11,Oxford/AstraZeneca,2921,Italy
2021-02-11,Pfizer/BioNTech,2875053,Italy
2021-02-12,Moderna,46192,Italy
2021-02-12,Oxford/AstraZeneca,7668,Italy
2021-02-12,Pfizer/BioNTech,2939996,Italy
2021-02-13,Pfizer/BioNTech,2983401,Italy
2021-02-13,Moderna,50076,Italy
2021-02-13,Oxford/AstraZeneca,12920,Italy
2021-02-14,Moderna,51277,Italy
2021-02-14,Oxford/AstraZeneca,19973,Italy
2021-02-14,Pfizer/BioNTech,3004512,Italy
2021-02-15,Pfizer/BioNTech,3056023,Italy
2021-02-15,Moderna,55423,Italy
2021-02-15,Oxford/AstraZeneca,26942,Italy
2021-02-16,Pfizer/BioNTech,3111082,Italy
2021-02-16,Oxford/AstraZeneca,36197,Italy
2021-02-16,Moderna,62102,Italy
2021-02-17,Moderna,69840,Italy
2021-02-17,Oxford/AstraZeneca,48791,Italy
2021-02-17,Pfizer/BioNTech,3170590,Italy
2021-02-18,Moderna,76870,Italy
2021-02-18,Oxford/AstraZeneca,66171,Italy
2021-02-18,Pfizer/BioNTech,3235626,Italy
2021-02-19,Oxford/AstraZeneca,85223,Italy
2021-02-19,Pfizer/BioNTech,3301832,Italy
2021-02-19,Moderna,83842,Italy
2021-02-20,Moderna,90230,Italy
2021-02-20,Oxford/AstraZeneca,104197,Italy
2021-02-20,Pfizer/BioNTech,3354285,Italy
2021-02-21,Moderna,95706,Italy
2021-02-21,Oxford/AstraZeneca,114837,Italy
2021-02-21,Pfizer/BioNTech,3389081,Italy
2021-02-22,Pfizer/BioNTech,3465104,Italy
2021-02-22,Moderna,101729,Italy
2021-02-22,Oxford/AstraZeneca,138138,Italy
2021-02-23,Pfizer/BioNTech,3541415,Italy
2021-02-23,Moderna,107042,Italy
2021-02-23,Oxford/AstraZeneca,162907,Italy
2021-02-24,Moderna,113279,Italy
2021-02-24,Oxford/AstraZeneca,190070,Italy
2021-02-24,Pfizer/BioNTech,3629984,Italy
2021-02-25,Moderna,119492,Italy
2021-02-25,Oxford/AstraZeneca,221606,Italy
2021-02-25,Pfizer/BioNTech,3720393,Italy
2021-02-26,Pfizer/BioNTech,3810819,Italy
2021-02-26,Oxford/AstraZeneca,261778,Italy
2021-02-26,Moderna,125216,Italy
2021-02-27,Moderna,132199,Italy
2021-02-27,Oxford/AstraZeneca,306316,Italy
2021-02-27,Pfizer/BioNTech,3885529,Italy
2021-02-28,Moderna,134893,Italy
2021-02-28,Oxford/AstraZeneca,332713,Italy
2021-02-28,Pfizer/BioNTech,3934400,Italy
2021-03-01,Pfizer/BioNTech,4022736,Italy
2021-03-01,Oxford/AstraZeneca,372588,Italy
2021-03-01,Moderna,141952,Italy
2021-03-02,Moderna,149455,Italy
2021-03-02,Oxford/AstraZeneca,428157,Italy
2021-03-02,Pfizer/BioNTech,4119955,Italy
2021-03-03,Moderna,159420,Italy
2021-03-03,Oxford/AstraZeneca,485015,Italy
2021-03-03,Pfizer/BioNTech,4238695,Italy
2021-03-04,Pfizer/BioNTech,4364413,Italy
2021-03-04,Oxford/AstraZeneca,543923,Italy
2021-03-04,Moderna,170381,Italy
2021-03-05,Moderna,182616,Italy
2021-03-05,Oxford/AstraZeneca,607632,Italy
2021-03-05,Pfizer/BioNTech,4491537,Italy
2021-03-06,Moderna,195760,Italy
2021-03-06,Oxford/AstraZeneca,670235,Italy
2021-03-06,Pfizer/BioNTech,4591935,Italy
2021-03-07,Oxford/AstraZeneca,705878,Italy
2021-03-07,Pfizer/BioNTech,4649537,Italy
2021-03-07,Moderna,203478,Italy
2021-03-08,Pfizer/BioNTech,4758599,Italy
2021-03-08,Moderna,215781,Italy
2021-03-08,Oxford/AstraZeneca,762855,Italy
2021-03-09,Moderna,228117,Italy
2021-03-09,Oxford/AstraZeneca,822299,Italy
2021-03-09,Pfizer/BioNTech,4877826,Italy
2021-03-10,Moderna,239095,Italy
2021-03-10,Oxford/AstraZeneca,885522,Italy
2021-03-10,Pfizer/BioNTech,5015295,Italy
2021-03-11,Pfizer/BioNTech,5154718,Italy
2021-03-11,Oxford/AstraZeneca,952919,Italy
2021-03-11,Moderna,251206,Italy
2021-03-12,Moderna,261039,Italy
2021-03-12,Oxford/AstraZeneca,1022447,Italy
2021-03-12,Pfizer/BioNTech,5283908,Italy
2021-03-13,Moderna,272125,Italy
2021-03-13,Oxford/AstraZeneca,1088550,Italy
2021-03-13,Pfizer/BioNTech,5382173,Italy
2021-03-14,Oxford/AstraZeneca,1128807,Italy
2021-03-14,Pfizer/BioNTech,5440370,Italy
2021-03-14,Moderna,279041,Italy
