Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-25,AK,AKA,Alaska,731545.0,155700.0,97031,21284.0,13264.0,80226.0,10967.0,16673.0,2279.0,,,
2021-01-25,AL,ALA,Alabama,4903185.0,521225.0,250612,10630.0,5111.0,220464.0,4496.0,29978.0,611.0,,,
2021-01-25,AR,ARA,Arkansas,3017804.0,368650.0,221095,12216.0,7326.0,185546.0,6148.0,33159.0,1099.0,,,
2021-01-25,AS,ASA,American Samoa,55689.0,18450.0,8046,33130.0,14448.0,7096.0,12742.0,948.0,1702.0,,,
2021-01-25,AZ,AZA,Arizona,7278717.0,829500.0,413662,11396.0,5683.0,350648.0,4817.0,62711.0,862.0,,,
2021-01-25,BP2,BP2,Bureau of Prisons,0.0,24750.0,24360,0.0,0.0,18988.0,0.0,5301.0,0.0,,,
2021-01-25,CA,CAA,California,39512223.0,4906525.0,2330633,12418.0,5899.0,1954048.0,4945.0,371482.0,940.0,,,
2021-01-25,CO,COA,Colorado,5758736.0,692700.0,447880,12029.0,7777.0,364889.0,6336.0,80467.0,1397.0,,,
2021-01-25,CT,CTA,Connecticut,3565287.0,492850.0,331264,13824.0,9291.0,282674.0,7929.0,42421.0,1190.0,,,
2021-01-25,DC,DCA,District of Columbia,705749.0,91025.0,64194,12898.0,9096.0,50902.0,7212.0,13236.0,1875.0,,,
2021-01-25,DD2,DD2,Dept of Defense,0.0,677025.0,346180,0.0,0.0,304294.0,0.0,35570.0,0.0,,,
2021-01-25,DE,DEA,Delaware,973764.0,116325.0,66914,11946.0,6872.0,55131.0,5662.0,11647.0,1196.0,,,
2021-01-25,FL,FLA,Florida,21477737.0,2908275.0,1544794,13541.0,7193.0,1384407.0,6446.0,156298.0,728.0,,,
2021-01-25,FM,FMA,Federated States of Micronesia,103643.0,19400.0,2758,18718.0,2661.0,2755.0,2658.0,3.0,3.0,,,
2021-01-25,GA,GAA,Georgia,10617423.0,1235775.0,604067,11639.0,5689.0,534161.0,5031.0,59965.0,565.0,,,
2021-01-25,GU,GUA,Guam,165768.0,34300.0,3791,20692.0,2287.0,3785.0,2283.0,0.0,0.0,,,
2021-01-25,HI,HIA,Hawaii,1415872.0,191575.0,92092,13531.0,6504.0,74296.0,5247.0,17795.0,1257.0,,,
2021-01-25,IA,IAA,Iowa,3155070.0,361475.0,196203,11457.0,6219.0,161445.0,5117.0,32149.0,1019.0,,,
2021-01-25,ID,IDA,Idaho,1787065.0,181100.0,91271,10134.0,5107.0,76199.0,4264.0,14419.0,807.0,,,
2021-01-25,IH2,IH2,Indian Health Svc,0.0,357850.0,155529,0.0,0.0,130085.0,0.0,24145.0,0.0,,,
2021-01-25,IL,ILA,Illinois,12671821.0,1417250.0,723203,11184.0,5707.0,578406.0,4565.0,137465.0,1085.0,,,
2021-01-25,IN,INA,Indiana,6732219.0,841725.0,491856,12503.0,7306.0,408181.0,6063.0,83554.0,1241.0,,,
2021-01-25,KS,KSA,Kansas,2913314.0,348175.0,154719,11951.0,5311.0,129861.0,4458.0,23635.0,811.0,,,
2021-01-25,KY,KYA,Kentucky,4467673.0,471000.0,307462,10542.0,6882.0,275610.0,6169.0,30010.0,672.0,,,
2021-01-25,LA,LAA,Louisiana,4648794.0,543700.0,341447,11696.0,7345.0,297684.0,6403.0,43151.0,928.0,,,
2021-01-25,MA,MAA,Massachusetts,6892503.0,859175.0,433615,12465.0,6291.0,368358.0,5344.0,64648.0,938.0,,,
2021-01-25,MD,MDA,Maryland,6045680.0,742175.0,350835,12276.0,5803.0,311148.0,5147.0,39259.0,649.0,,,
2021-01-25,ME,MEA,Maine,1344212.0,178450.0,104069,13275.0,7742.0,82837.0,6162.0,19873.0,1478.0,,,
2021-01-25,MH,MHA,Marshall Islands,58413.0,13600.0,3098,23282.0,5304.0,3065.0,5247.0,3.0,5.0,,,
2021-01-25,MI,MIA,Michigan,9986857.0,1095675.0,727437,10971.0,7284.0,599665.0,6005.0,116840.0,1170.0,,,
2021-01-25,MN,MNA,Minnesota,5639632.0,680700.0,346864,12070.0,6150.0,273973.0,4858.0,72266.0,1281.0,,,
2021-01-25,MO,MOA,Missouri,6137428.0,661400.0,335695,10777.0,5470.0,258298.0,4209.0,75823.0,1235.0,,,
2021-01-25,MP,MPA,Northern Mariana Islands,56882.0,18650.0,8495,32787.0,14934.0,5474.0,9623.0,3017.0,5304.0,,,
2021-01-25,MS,MSA,Mississippi,2976149.0,358100.0,180960,12032.0,6080.0,164715.0,5535.0,16034.0,539.0,,,
2021-01-25,MT,MTA,Montana,1068778.0,119500.0,77356,11181.0,7238.0,63224.0,5916.0,14111.0,1320.0,,,
2021-01-25,NC,NCA,North Carolina,10488084.0,1246600.0,676037,11886.0,6446.0,589436.0,5620.0,86064.0,821.0,,,
2021-01-25,ND,NDA,North Dakota,762062.0,86750.0,75242,11384.0,9873.0,57996.0,7610.0,15680.0,2058.0,,,
2021-01-25,NE,NEA,Nebraska,1934408.0,238100.0,134033,12309.0,6929.0,110672.0,5721.0,22547.0,1166.0,,,
2021-01-25,NH,NHA,New Hampshire,1359711.0,162950.0,94623,11984.0,6959.0,80674.0,5933.0,13907.0,1023.0,,,
2021-01-25,NJ,NJA,New Jersey,8882190.0,989900.0,563141,11145.0,6340.0,492061.0,5540.0,69374.0,781.0,,,
2021-01-25,NM,NMA,New Mexico,2096829.0,257075.0,204670,12260.0,9761.0,166530.0,7942.0,35507.0,1693.0,,,
2021-01-25,NV,NVA,Nevada,3080156.0,286950.0,159869,9316.0,5190.0,136670.0,4437.0,22279.0,723.0,,,
