Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-28,AK,AKA,Alaska,731545.0,178075.0,105858,24342.0,14470.0,85672.0,11711.0,20045.0,2740.0,11.71,2.74,,,
2021-01-28,AL,ALA,Alabama,4903185.0,655275.0,278993,13364.0,5690.0,241337.0,4922.0,37431.0,763.0,4.92,0.76,,,
2021-01-28,AR,ARA,Arkansas,3017804.0,453300.0,252824,15021.0,8378.0,209445.0,6940.0,40910.0,1356.0,6.94,1.36,,,
2021-01-28,AS,ASA,American Samoa,55689.0,18450.0,9085,33130.0,16314.0,8133.0,14604.0,950.0,1706.0,14.6,1.71,,,
2021-01-28,AZ,AZA,Arizona,7278717.0,1011375.0,487149,13895.0,6693.0,412841.0,5672.0,73927.0,1016.0,5.67,1.02,,,
2021-01-28,BP2,BP2,Bureau of Prisons,0.0,30050.0,28514,0.0,0.0,21081.0,0.0,7368.0,0.0,0.0,0.0,,,
2021-01-28,CA,CAA,California,39512223.0,5547100.0,2746876,14039.0,6952.0,2281453.0,5774.0,458585.0,1161.0,5.77,1.16,,,
2021-01-28,CO,COA,Colorado,5758736.0,806950.0,495706,14013.0,8608.0,394156.0,6844.0,98663.0,1713.0,6.84,1.71,,,
2021-01-28,CT,CTA,Connecticut,3565287.0,571775.0,381160,16037.0,10691.0,315317.0,8844.0,59437.0,1667.0,8.84,1.67,,,
2021-01-28,DC,DCA,District of Columbia,705749.0,144425.0,70839,20464.0,10037.0,55599.0,7878.0,15177.0,2150.0,7.88,2.15,,,
2021-01-28,DD2,DD2,Dept of Defense,0.0,794200.0,389927,0.0,0.0,335627.0,0.0,46561.0,0.0,0.0,0.0,,,
2021-01-28,DE,DEA,Delaware,973764.0,141825.0,82289,14565.0,8451.0,68959.0,7082.0,13121.0,1347.0,7.08,1.35,,,
2021-01-28,FL,FLA,Florida,21477737.0,3095850.0,1707251,14414.0,7949.0,1497903.0,6974.0,204623.0,953.0,6.97,0.95,,,
2021-01-28,FM,FMA,Federated States of Micronesia,103643.0,19400.0,3502,18718.0,3379.0,3471.0,3349.0,4.0,4.0,3.35,0.0,,,
2021-01-28,GA,GAA,Georgia,10617423.0,1441025.0,764211,13572.0,7198.0,659212.0,6209.0,89305.0,841.0,6.21,0.84,,,
2021-01-28,GU,GUA,Guam,165768.0,34300.0,19520,20692.0,11775.0,15405.0,9293.0,3969.0,2394.0,9.29,2.39,,,
2021-01-28,HI,HIA,Hawaii,1415872.0,226700.0,103944,16011.0,7341.0,84139.0,5943.0,19804.0,1399.0,5.94,1.4,,,
2021-01-28,IA,IAA,Iowa,3155070.0,391575.0,212497,12411.0,6735.0,169341.0,5367.0,40477.0,1283.0,5.37,1.28,,,
2021-01-28,ID,IDA,Idaho,1787065.0,210750.0,102800,11793.0,5752.0,85373.0,4777.0,16724.0,936.0,4.78,0.94,,,
2021-01-28,IH2,IH2,Indian Health Svc,0.0,406525.0,180226,0.0,0.0,144908.0,0.0,33645.0,0.0,0.0,0.0,,,
2021-01-28,IL,ILA,Illinois,12671821.0,1631775.0,823325,12877.0,6497.0,643555.0,5079.0,162086.0,1279.0,5.08,1.28,,,
2021-01-28,IN,INA,Indiana,6732219.0,925300.0,552144,13744.0,8202.0,454380.0,6749.0,97614.0,1450.0,6.75,1.45,,,
2021-01-28,KS,KSA,Kansas,2913314.0,405550.0,190301,13921.0,6532.0,157536.0,5407.0,31429.0,1079.0,5.41,1.08,,,
