Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-27,US,USA,United States,331996199.0,Report,180644125.0,140180735,54412.0,42224.0,65811340.0,71246219.0,2982453.0,140723.0,91707729.0,27.6,14.2,91417268.0,35.4,139815580.0,54165.0,69982.0,39273886.0,71.8,64922552.0,118695.0,330264.0,47179739.0,47106782.0,18.2,85398200.0,90299625.0,4946300.0,0.0,22141733.0,25006152.0,2962399.0,31485.0,22129607.0,24945350.0,2958914.0,31458.0,12080587.0,12911311.0,807211.0,10924.0,50141769,15.1,50065329.0,19.4,25810034.0,47.2,,,,
2021-03-27,AK,AKA,Alaska,731545.0,Report,570465.0,395650,77981.0,54084.0,180913.0,209896.0,4785.0,56.0,242733.0,33.2,20.8,238899.0,43.3,390157.0,70737.0,103427.0,65801.0,71.8,118308.0,129174.0,622860.0,152015.0,150360.0,27.3,263900.0,289965.0,16600.0,0.0,68448.0,83558.0,4683.0,9.0,68371.0,81980.0,4659.0,9.0,31956.0,22060.0,507.0,3.0,156698,21.4,155019.0,28.1,54526.0,59.5,,,,
2021-03-27,AL,ALA,Alabama,4903185.0,Report,2535880.0,1645858,51719.0,33567.0,829339.0,780144.0,36375.0,0.0,1098597.0,22.4,12.0,1097210.0,28.8,1644302.0,43102.0,66473.0,526160.0,61.9,835346.0,98295.0,298396.0,586065.0,585853.0,15.4,1255200.0,1209780.0,70900.0,0.0,297014.0,289021.0,37320.0,30.0,296986.0,288837.0,37315.0,30.0,179289.0,146543.0,14201.0,20.0,623385,12.7,623168.0,16.3,340053.0,40.0,,,,
2021-03-27,AR,ARA,Arkansas,3017804.0,Report,1662850.0,1114449,55101.0,36929.0,544655.0,546446.0,23107.0,241.0,747412.0,24.8,12.1,745264.0,32.2,1112195.0,47988.0,71747.0,330342.0,63.1,522523.0,99741.0,317409.0,366228.0,366054.0,15.8,802400.0,801450.0,59000.0,0.0,181869.0,184310.0,22429.0,49.0,181845.0,184160.0,22404.0,49.0,109333.0,84182.0,4170.0,38.0,388657,12.9,388458.0,16.8,197723.0,37.7,,,,
2021-03-27,AS,ASA,American Samoa,55689.0,Report,43810.0,28527,78669.0,51226.0,6143.0,22384.0,0.0,0.0,17567.0,31.5,19.8,17038.0,39.2,27691.0,63750.0,100859.0,2204.0,23.3,3708.0,39168.0,462765.0,11043.0,10739.0,24.7,12400.0,30810.0,600.0,0.0,2283.0,8760.0,3.0,0.0,2282.0,8457.0,3.0,0.0,607.0,955.0,1.0,0.0,11046,19.8,10742.0,24.7,1563.0,16.5,,,,
2021-03-27,AZ,AZA,Arizona,7278717.0,Report,3970345.0,3239538,54547.0,44507.0,1488506.0,1710433.0,39238.0,1361.0,2030110.0,27.9,15.3,2021745.0,35.9,3226198.0,57218.0,70415.0,921012.0,70.4,1574608.0,120325.0,303396.0,1116392.0,1113039.0,19.7,1868900.0,1995045.0,106400.0,0.0,504984.0,610950.0,37647.0,458.0,504911.0,607670.0,37606.0,458.0,277668.0,317467.0,10551.0,318.0,1154039,15.9,1150645.0,20.4,606004.0,46.3,,,,
2021-03-27,BP2,BP2,Bureau of Prisons,0.0,Report,97960.0,101156,0.0,0.0,39816.0,60981.0,359.0,0.0,60463.0,0.0,0.0,60463.0,0.0,101156.0,0.0,0.0,2590.0,0.0,4439.0,0.0,0.0,40110.0,40110.0,0.0,40100.0,56160.0,1700.0,0.0,15185.0,24925.0,358.0,0.0,15185.0,24925.0,358.0,0.0,787.0,1034.0,2.0,0.0,40468,0.0,40468.0,0.0,1823.0,0.0,,,,
2021-03-27,CA,CAA,California,39512223.0,Report,21865730.0,16944916,55339.0,42885.0,8024567.0,8603278.0,315681.0,1390.0,11323197.0,28.7,14.0,11276158.0,36.8,16890411.0,55166.0,71416.0,4465831.0,76.5,7391734.0,126612.0,374534.0,5517395.0,5510092.0,18.0,10261100.0,10981230.0,623400.0,0.0,2571192.0,2945985.0,313507.0,218.0,2570328.0,2939546.0,312874.0,218.0,1465537.0,1406044.0,44605.0,139.0,5830902,14.8,5822966.0,19.0,2916325.0,50.0,,,,
2021-03-27,CO,COA,Colorado,5758736.0,Report,3060410.0,2500874,53144.0,43427.0,1209349.0,1234545.0,56321.0,659.0,1591554.0,27.6,15.5,1585893.0,35.2,2494290.0,55438.0,68021.0,645604.0,76.6,1142343.0,135604.0,363291.0,890822.0,889894.0,19.8,1476400.0,1508910.0,75100.0,0.0,417127.0,473548.0,55366.0,147.0,417042.0,472705.0,55279.0,147.0,234419.0,253269.0,7960.0,89.0,946188,16.4,945173.0,21.0,495737.0,58.8,,,,
2021-03-27,CT,CTA,Connecticut,3565287.0,Report,2211275.0,1813854,62022.0,50875.0,804198.0,966920.0,42606.0,130.0,1178160.0,33.0,17.4,1176405.0,41.5,1811250.0,63825.0,77921.0,518586.0,82.3,907325.0,143964.0,350860.0,622053.0,621333.0,21.9,995900.0,1159275.0,56100.0,0.0,270367.0,351668.0,42627.0,18.0,270199.0,351116.0,42597.0,18.0,140212.0,236841.0,5070.0,11.0,664680,18.6,663930.0,23.4,382134.0,60.6,,,,
